_Id,Returned,Product Name,Product Segment,Rating,Review,Title
R1060RBTFRFE48,Yes,Swing 1,Baby Product,1 Star,I purchased one of these swings for my last child. It was around the same price… this one the seat is terrible. It wakes my baby up when he’s in it and I’m sure it’s because it’s so uncomfortable. There is no head support and it dips so far in he either crunches up in it or his head is way back. The swing also squeaks and makes noise swinging. The mobile it comes with doesn’t move. The speaker for the sound is absolutely terrible. I would highly recommend going with a different one! Again I purchased one from the same brand for my last child a couple years ago and it was around the same price but much better!,All bad
R13DJ77EZFAIWI,Yes,Seat & Bouncer 1,Baby Product,1 Star,"I ho ly feel bad I asked for his and family paid so much for it. I'm not even using it anymore.
We had to prop the stand as the bars had to be bent just to assemble which made the swing base uneven. The entire swing rocked with the base leaving the floor.
It also reclines in an odd way but doesn't allow the baby to sit up when he gets older like it appears in the photos.
Swing mechanism is also very loud.
I'd return it if I could.",NOT SAFE
R15NYSUD9N39B7,No,Car Seat 1,Baby Product,4 Star,This Brand Car Seat 12 swivel convertible car seat is incredible! Not only does it grow with your baby to fit all your safety needs for years to come but it was easy to install. It is a heavier car seat on the market but for the added convenience of rotating I take it as a win. The only negatives I seem to have run across is that it moves a bit more than the infant car seat side to side and although it can be machine washed it must be air dried per the instruction manual. Already recommending this to all the other families with little ones.,Will be buying this for future babies!
R15UXWMELB3VVP,Yes,Swing 1,Baby Product,1 Star,"seat bucket is angled too deep causing baby's head to tuck against the chest, causing discomfort. the seat belts are useless and aggravating to newborn.",The seat bucket is angled incorrectly
R168A29OOS1W0B,Yes,Car Seat 1,Baby Product,2 Star,"Installing is pretty easy, the locking mechanism helps a lot with securing you don’t have to pull like crazy because of this system. Pretty good colors and cushions. 5 point harness is a bit flimsy. Minor details aside only disappointment is the rotation axis, if your car has bolstered rear seats, chances are high that the car seat will rub the bolsters and won’t rotate easily. Removing cup holders helps a tiny bit but then without the cup holders there are pointy plastic things sticking out. If your rear seats have flat surface you won’t notice this. They should mention this in the description/manual.",Does not rotate easily if car has bolstered rear seats
R1A4KLB4ZCZSTT,Yes,Travel System 1,Baby Product,1 Star,Received this as a baby shower gift this year. Had 6 week old in her car seat in the stroller. Pushed the brake down and the brakes did not work! Extremely dangerous situation that ended in police and paramedics to be involved. Even with both brakes down stroller still moves by slightest movement.,Dangerous! Brakes did not work
R1CELHXQRKVJF2,Yes,Travel System 1,Baby Product,1 Star,"I bought this stroller hoping it would serve all three purpose of car seat, pramette and stroller. While the other two are good, but the stroller is very inconvenient. Its wheels go way ward and it cannot be controlled with one hand at all. Even with both hands it takes your full energy to keep it moving in intended direction and it exhausta you after a while.

Car seat is comfortable and good but the tightening belt is short and I had to buy another belt to use it properly in my Subaru Forester, otherwise it was not fitting in the designed intended location.",Very uncomfortable manuevre and Unaligned movement of wheels
R1DIVNPAIGHPHF,Yes,Car Seat 1,Baby Product,2 Star,"Displeased with this car seat.
- slides/moves on seat even when rightly anchored
- Noisy! When the child is not in the seat it rattles and makes a lot of noise which is very distracting even audible when radio is on.
- The rotating seat does not lock tightly and will move slightly when the child is in the seat and can make noise.
- the belt buckle inserts always slide all the way down and you have to fish for them underneath the child to get them and buckled
- the chest buckle is cheap",Greco swing
R20LGOTJ0NTTGD,Yes,Stroller 1,Baby Product,1 Star,"Over the stroller is ok.... The CHILD'S TRAY was hard to attach. Hence I broke it. Contached support said it was out of stock. (this was in November) . I called on December 21st to see if they has it back in stock. Answer was no, estimated January 21, 2024, it has to come from china. Maybe we will get the tray before the child grows out of it.",Product support
R2D0R8NU0JRPRV,Yes,Swing 1,Baby Product,2 Star,"The swing is nice but it’s way too big for a new born, it seems like it will fit 4+ months, also I can’t seem to get the vibration to work. And the set up for the wiring was a bit complicated",Too wide for a newborn
R2PSNKR9CE05EO,Yes,Swing 1,Baby Product,2 Star,"It’s huge, the seat is too scooped and causes baby to spit up, the swing goes extremely fast even on lowest setting and causes spit up…the mobile doesn’t move. The instructions were not great and the vibration requires batteries but it doesn’t tell you… so you already put it together and it’s too hard to add after the fact… there are way too many straps so by the time you get sleepy baby situated, they wake up from all the movement to get them strapped in. The songs are way too quiet and unclear. I went with this one because it is a name brand and the last swing I had collapsed so I don’t trust it again.",Not a great design
R2ZU3HIE2RLBFT,Yes,Travel System 1,Baby Product,2 Star,Okay so here is the deal with this car seat and stroller…. The stroller is nice… a bit bulky ho ly but pretty cute…. I like the fact it grows with your child as well and the pram. Listen I would buy the stroller separately and not together. The car seat is a cheap hunk of junk!!!!! There is absolutely zero infant head support and the entire time I used this car seat for the month I did before replacing for a more expensive better quality one I had to hold my babies hold up. I showed this image to a children’s hospital emergency room pediatrician and she immediately said I needed a new car seat and that the position of my babies neck in the car seat would cause long term damage over time. This car seat needs to be recalled. It also is a pain in the butt because you have to put the straps through the back of the car seat and weave them through to adjust. The padding is non existent. It’s practically impossible getting them out of the car seat. The padding on the top always falls off. The car seat is a complete and utter nightmare. I DO RECOMMEND THE STROLLER NOT THE CAR SEAT !!!!!,Good quality stroller TERRIBLE CAR SEAT
R30BJJ7ZND31ZT,No,Car Seat 1,Baby Product,3 Star,"There is a safety issue with the seatbelt install method when rear facing. It will start off tight and loosen over time to where my child was diagonal after a slow turn. Went from little to no movement at belt path and gradually increased to 4"" or more movement at belt path. Brand confirmed my install was correct and sent replacement seat. Happened again with replacement. This time when I called back they confirmed it's a KNOWN safety issue with the seatbelt install method and you can only safely use the latch method to install RF. This means the seat maxes out at 35 lbs when rear facing. My child was 34.5 lbs and the seat doesn't swivel in the FF orientation. I switched to a different brand's rotating seat and it feels 100% more secure.",SAFETY ISSUE
